Vstup;Trh;Shares;Vstup_cena;Vystup;Vystup_cena;Komise;P/L
27.04.2021;ATRC;11;66;03.05.2021;76;0.73588;
27.04.2021;AZO;1;1453.21;03.05.2021;1465.5;0.73588;
27.04.2021;JACK;6;118.49;03.05.2021;120.65;0.73588;
27.04.2021;PEG;12;62.15;03.05.2021;63.11;0.73588;
28.04.2021;ABM;14;52.7;04.05.2021;53.48;0.73588;
28.04.2021;CWT;12;58.83;04.05.2021;59;0.73588;
28.04.2021;EHC;9;87;04.05.2021;84.44;0.73588;
28.04.2021;FR;15;48.68;04.05.2021;49.78;0.73588;
28.04.2021;GLW;17;44.4;04.05.2021;44.5;0.73588;
28.04.2021;MEDP;4;167;04.05.2021;169.4;0.73588;
28.04.2021;NWS;30;24.5;05.05.2021;23.72;0.73588;
28.04.2021;SAM;1;1211;04.05.2021;1169.75;0.73588;
29.04.2021;WRB;9;79.671;05.05.2021;80.75;0.73588;
29.04.2021;TGNA;36;20.6;05.05.2021;19.83;0.73588;
29.04.2021;FTNT;4;198.5;05.05.2021;207.64;0.73588;
30.04.2021;LAND;36;20.8;06.05.2021;21.29;0.73588;
30.04.2021;SYNH;9;83.5;06.05.2021;81.42;0.73588;
30.04.2021;MSFT;3;250.3;06.05.2021;246.6;0.73588;
03.05.2021;KSU;2;294.31;07.05.2021;299.54;0.73588;
03.05.2021;HUBS;1;532.09;07.05.2021;510.82;0.73588;
03.05.2021;KTB;12;64.28;07.05.2021;67.2;0.73588;
04.05.2021;GALT;198;3.76;10.05.2021;3.96;0.73588;
04.05.2021;AVTR;24;30.9;10.05.2021;30.75;0.73588;
04.05.2021;PODD;2;277.47;10.05.2021;235;0.73588;
04.05.2021;VECO;33;22.22;10.05.2021;22;0.73588;
04.05.2021;GKOS;8;89.14;10.05.2021;80.57;0.73588;
05.05.2021;SMED;16;16.07;11.05.2021;15.2;0.73588;
05.05.2021;NVCR;4;200;11.05.2021;178;0.73588;
05.05.2021;SWAV;5;150.9;11.05.2021;145.5;0.73588;
05.05.2021;STAA;6;123.99;07.05.2021;132.73;0.73588;
06.05.2021;VCEL;13;56.4;12.05.2021;50;0.73588;
06.05.2021;ARE;4;175.6;10.05.2021;179.62;0.73588;
07.05.2021;TRU;7;105.4;13.05.2021;103.49;0.73588;
10.05.2021;AGO;13;48.96;14.05.2021;46.59;0.73588;
10.05.2021;CAR;6;82.2;14.05.2021;80.2;0.73588;
10.05.2021;IBP;3;125.44;14.05.2021;121.96;0.73588;
10.05.2021;MAT;26;21.84;14.05.2021;20.35;0.73588;
11.05.2021;KTB;8;62.25;17.05.2021;65.4;0.73588;
11.05.2021;TBI;20;27.06;17.05.2021;27.27;0.73588;
11.05.2021;EVRI;24;17.7;17.05.2021;17.53;0.73588;
11.05.2021;MRNA;1;150.39;17.05.2021;161.5;0.73588;
11.05.2021;GOOG;0;2289.92;17.05.2021;2298.42;0.73588;
11.05.2021;MORN;3;250.96;17.05.2021;245.03;0.73588;
11.05.2021;NDLS;33;11.25;17.05.2021;11.4;0.73588;
11.05.2021;TWNK;48;15.53;17.05.2021;15.71;0.73588;
11.05.2021;TXRH;5;100.01;17.05.2021;101.25;0.73588;
12.05.2021;NGMS;7;45.5;18.05.2021;47.62;0.73588;
14.05.2021;EGLE;7;44.29;19.05.2021;48.15;0.73588;
14.05.2021;AA;10;39.15;18.05.2021;41.3;0.73588;
14.05.2021;AMN;7;88.5;20.05.2021;89;0.73588;
14.05.2021;AMEH;18;31.25;19.05.2021;32.9;0.73588;
14.05.2021;DPZ;2;429;18.05.2021;433.78;0.73588;
17.05.2021;X;11;25.51;21.05.2021;24.39;0.73588;
17.05.2021;CLF;16;20.37;21.05.2021;16.6;0.73588;
18.05.2021;KSU;2;299.5;24.05.2021;295.5;0.73588;
18.05.2021;MTW;17;25.34;24.05.2021;23.8;0.73588;
19.05.2021;FCBP;20;31.37;21.05.2021;32.5;0.73588;
19.05.2021;CCRN;28;15.58;25.05.2021;15.63;0.73588;
19.05.2021;SEE;13;55.14;21.05.2021;56.25;0.73588;
19.05.2021;DISH;13;43.98;25.05.2021;44.44;0.73588;
19.05.2021;HSIC;8;79.17;25.05.2021;77.6;0.73588;
19.05.2021;WTS;5;132.17;25.05.2021;132.5;0.73588;
19.05.2021;BG;7;86.57;25.05.2021;86.86;0.73588;
19.05.2021;AAP;4;199.03;25.05.2021;191.47;0.73588;
19.05.2021;VRSN;3;215.7;21.05.2021;223.12;0.73588;
19.05.2021;OCDX;17;19.86;25.05.2021;20.49;0.73588;
19.05.2021;AIT;6;97.62;25.05.2021;97.46;0.73588;
19.05.2021;VRTV;7;46;24.05.2021;57;0.73588;
19.05.2021;TMUS;5;133.67;21.05.2021;137.1;0.73588;
20.05.2021;FCX;10;40.7;26.05.2021;40.95;0.73588;
21.05.2021;LQDT;6;25.9;27.05.2021;24.32;0.73588;
21.05.2021;OI;15;17.868;27.05.2021;18.16;0.73588;
21.05.2021;IHRT;20;22.01;27.05.2021;22.42;0.73588;
21.05.2021;WCC;2;104.8;27.05.2021;108;0.73588;
24.05.2021;STLD;19;61.53;28.05.2021;61.95;0.73588;
